"building","geometryTitle","constructionTimeStart","municipalicy"
"http://kulturnav.org/708bfa08-c612-41a6-8591-5555eff02ea0","Adolf Fredriks kyrka","1768","Stockholm"
"http://kulturnav.org/66edfe55-14ee-4f21-a961-3ba6f36213f2","Adolfsbergs kyrka","1970","Örebro"
"http://kulturnav.org/ec0857f5-caf8-4bc3-8ed2-60bbf4410645","Adolfsbergskyrkan","1976","Helsingborg"
"http://kulturnav.org/f6d13dc8-ad79-4ea5-8f77-5e99894f6967","Adventskyrkan","1944","Hallsberg"
"http://kulturnav.org/2de92b28-878c-494d-a34b-8d907c9e2e2a","Albert Engströms ateljé","1906","Norrtälje"
"http://kulturnav.org/323300ae-0525-4c04-ad37-01cbd66cc205","Allhelgonakyrkan","1917","Stockholm"
"http://kulturnav.org/ac75d8a0-9aa2-48ff-8691-8a8b347b3202","Allmänna Telefonaktiebolagets hus","1886","Stockholm"
"http://kulturnav.org/dfb4c98d-9ca9-48dc-8ecb-a4ecb2e2b0fe","Alsens kyrka","1840","Krokom"
"http://kulturnav.org/d1934912-8fd5-496a-87d4-b941cdb1f7c2","Altona 7","1917","Lund"
"http://kulturnav.org/c62e70ed-9391-4bfc-bc95-48e315fee8c1","Alvesta kyrka","1500","Alvesta"
"http://kulturnav.org/bc57e81b-de53-4ea1-8697-26facc2781db","Amerikaskjulet","1912","Göteborg"
"http://kulturnav.org/4f69044f-7cdb-4bba-b8a9-95d7116592f4","Amiralitetskyrkan","1685","Karlskrona"
"http://kulturnav.org/737c6b03-14cf-485b-93ba-fd59b918226e","Ansgarskapellet","1929","Ekerö"
"http://kulturnav.org/dc99fe4d-409f-4664-9f05-82ac563a53db","Ansgarskyrkan","1962","Eskilstuna"
"http://kulturnav.org/6f71e3e9-7b7a-4b56-9505-5c5a036c7bb5","Apelgårdens småkyrka","1982","Mölndal"
"http://kulturnav.org/bf40bb4b-e747-4422-a37c-d8b37d80762a","Apotekaren 10, Affärs- och flerbostadshus","1932","Lund"
"http://kulturnav.org/c5b4fa35-bf70-4782-931b-df52a134cd50","Apoteket Lejonet","1898","Malmö"
"http://kulturnav.org/00858411-b4d8-4f8d-b2b9-87f106c363fc","Apoteket Ugglan","1893","Stockholm"
"http://kulturnav.org/832c75ef-4d2d-46a0-892e-fcbf75d015dd","Arbisteatern","1865","Norrköping"
"http://kulturnav.org/893a44fa-43e4-4fad-ba82-bd82434e4fa1","Arsenalsgatan 6, Bank AB Södra Sverige","1907","Stockholm"
"http://kulturnav.org/e2d14d73-5d33-4a3d-bd10-972847d8d277","Arsenalspalatset","1931","Stockholm"
"http://kulturnav.org/a8c6f7fd-c09b-4876-bd00-10c892853212","Arvfurstens palats","1783","Stockholm"
"http://kulturnav.org/529feec5-4b06-4fe6-908f-e99c4b4cdcc0","Aspeboda kyrka","1962","Falun"
"http://kulturnav.org/f82321ac-4495-4e74-8796-309c42bd9af6","Aspuddens skola","1947","Stockholm"
"http://kulturnav.org/f5e3f995-33a9-4fe0-829c-db57a175767e","Aula Magna","1995","Stockholm"
"http://kulturnav.org/44c4a5f8-3f08-4c40-aece-ce5666e85c80","Automobilpalatset","1930","Jönköping"
"http://kulturnav.org/884f8923-5511-470f-8204-5af452efd19c","Avalon hotel","2006","Göteborg"
"http://kulturnav.org/4b3d4cf6-fe22-4d06-bdfc-a3c30bc88d7a","Axel Oxenstiernas palats","1653","Stockholm"
"http://kulturnav.org/c5726c63-a874-41f6-9df8-f4faa5e97b17","Backa kyrka","1864","Göteborg"
"http://kulturnav.org/9368367e-c55e-4e5a-af6e-9a1ceb386e69","Bagaregårdsskolan","1918","Göteborg"
